fingerprint,severity,confidence,review_state,review_note,masvs,masvs_mapping,category,file,line,reason,evidence
asx-f510d3fab3104a20c0155e32,Medium,70,needs_validation,,MASVS-CODE,inferred,App uses SQLite Database and execute raw SQL query. Untrusted user input in raw SQL queries can cause SQL Injection. Also sensitive information should be encrypted and written to the database.,jakhar/aseem/diva/SQLInjectionActivity.java,4,App uses SQLite Database and execute raw SQL query. Untrusted user input in raw SQL queries can cause SQL Injection. Also sensitive information should be encrypted and written to the database.,App uses SQLite Database and execute raw SQL query. Untrusted user input in raw SQL queries can cause SQL Injection. Also sensitive information should be encrypted and written to the database.
asx-e148c4df97eeeeefb7bd29aa,Info,70,needs_validation,,MASVS-STORAGE,inferred,The App logs information. Sensitive information should never be logged.,jakhar/aseem/diva/SQLInjectionActivity.java,28,The App logs information. Sensitive information should never be logged.,The App logs information. Sensitive information should never be logged.
asx-091be4ba23fac2428992cc49,High,70,needs_validation,,MASVS-RESILIENCE,inferred,binary_stack_canary,lib/arm64-v8a/libdivajni.so,1,This binary does not have a stack canary value added to the stack. Stack canaries are used to detect and prevent exploits from overwriting return address. Use the option -fstack-protector-all to enable stack canaries. Not applicable for Dart/Flutter libraries unless Dart FFI is used.,This binary does not have a stack canary value added to the stack. Stack canaries are used to detect and prevent exploits from overwriting return address. Use the option -fstack-protector-all to enable stack canaries. Not applicable for Dart/Flutter libraries unless Dart FFI is used.
asx-3f3f28a805471dcb6bae32de,High,70,needs_validation,,MASVS-CODE,inferred,binary_nx,lib/arm64-v8a/libdivajni.so,1,The binary does not have NX bit set. NX bit offer protection against exploitation of memory corruption vulnerabilities by marking memory page as non-executable. Use option --noexecstack or -z noexecstack to mark stack as non executable.,The binary does not have NX bit set. NX bit offer protection against exploitation of memory corruption vulnerabilities by marking memory page as non-executable. Use option --noexecstack or -z noexecstack to mark stack as non executable.
asx-dcd9d831cc83b127c7a67381,Medium,70,needs_validation,,MASVS-RESILIENCE,inferred,binary_fortify,lib/arm64-v8a/libdivajni.so,1,"The binary does not have any fortified functions. Fortified functions provides buffer overflow checks against glibc's commons insecure functions like strcpy, gets etc. Use the compiler option -D_FORTIFY_SOURCE=2 to fortify functions. This check is not applicable for Dart/Flutter libraries.","The binary does not have any fortified functions. Fortified functions provides buffer overflow checks against glibc's commons insecure functions like strcpy, gets etc. Use the compiler option -D_FORTIFY_SOURCE=2 to fortify functions. This check is not applicable for Dart/Flutter libraries."
asx-7ac7274f6084992e65cd91d0,Medium,70,needs_validation,,MASVS-RESILIENCE,inferred,binary_fortify,lib/armeabi-v7a/libdivajni.so,1,"The binary does not have any fortified functions. Fortified functions provides buffer overflow checks against glibc's commons insecure functions like strcpy, gets etc. Use the compiler option -D_FORTIFY_SOURCE=2 to fortify functions. This check is not applicable for Dart/Flutter libraries.","The binary does not have any fortified functions. Fortified functions provides buffer overflow checks against glibc's commons insecure functions like strcpy, gets etc. Use the compiler option -D_FORTIFY_SOURCE=2 to fortify functions. This check is not applicable for Dart/Flutter libraries."
asx-e54ac587b44d31e7a622d47f,High,70,needs_validation,,MASVS-CODE,inferred,binary_nx,lib/armeabi-v7a/libdivajni.so,1,The binary does not have NX bit set. NX bit offer protection against exploitation of memory corruption vulnerabilities by marking memory page as non-executable. Use option --noexecstack or -z noexecstack to mark stack as non executable.,The binary does not have NX bit set. NX bit offer protection against exploitation of memory corruption vulnerabilities by marking memory page as non-executable. Use option --noexecstack or -z noexecstack to mark stack as non executable.
asx-e7d92c5b21bef88fef78ab9d,High,70,needs_validation,,MASVS-RESILIENCE,inferred,binary_stack_canary,lib/armeabi-v7a/libdivajni.so,1,This binary does not have a stack canary value added to the stack. Stack canaries are used to detect and prevent exploits from overwriting return address. Use the option -fstack-protector-all to enable stack canaries. Not applicable for Dart/Flutter libraries unless Dart FFI is used.,This binary does not have a stack canary value added to the stack. Stack canaries are used to detect and prevent exploits from overwriting return address. Use the option -fstack-protector-all to enable stack canaries. Not applicable for Dart/Flutter libraries unless Dart FFI is used.
asx-052f95c6189ec9ecc5b94c67,Medium,70,needs_validation,,MASVS-RESILIENCE,inferred,binary_fortify,lib/armeabi/libdivajni.so,1,"The binary does not have any fortified functions. Fortified functions provides buffer overflow checks against glibc's commons insecure functions like strcpy, gets etc. Use the compiler option -D_FORTIFY_SOURCE=2 to fortify functions. This check is not applicable for Dart/Flutter libraries.","The binary does not have any fortified functions. Fortified functions provides buffer overflow checks against glibc's commons insecure functions like strcpy, gets etc. Use the compiler option -D_FORTIFY_SOURCE=2 to fortify functions. This check is not applicable for Dart/Flutter libraries."
asx-3882dd95fbd3a540805cd549,High,70,needs_validation,,MASVS-CODE,inferred,binary_nx,lib/armeabi/libdivajni.so,1,The binary does not have NX bit set. NX bit offer protection against exploitation of memory corruption vulnerabilities by marking memory page as non-executable. Use option --noexecstack or -z noexecstack to mark stack as non executable.,The binary does not have NX bit set. NX bit offer protection against exploitation of memory corruption vulnerabilities by marking memory page as non-executable. Use option --noexecstack or -z noexecstack to mark stack as non executable.
asx-a74ca98e1daf84a0f944232e,High,70,needs_validation,,MASVS-RESILIENCE,inferred,binary_stack_canary,lib/armeabi/libdivajni.so,1,This binary does not have a stack canary value added to the stack. Stack canaries are used to detect and prevent exploits from overwriting return address. Use the option -fstack-protector-all to enable stack canaries. Not applicable for Dart/Flutter libraries unless Dart FFI is used.,This binary does not have a stack canary value added to the stack. Stack canaries are used to detect and prevent exploits from overwriting return address. Use the option -fstack-protector-all to enable stack canaries. Not applicable for Dart/Flutter libraries unless Dart FFI is used.
asx-59b3c9d0c9b90d81915683e8,Medium,70,needs_validation,,MASVS-RESILIENCE,inferred,binary_fortify,lib/mips/libdivajni.so,1,"The binary does not have any fortified functions. Fortified functions provides buffer overflow checks against glibc's commons insecure functions like strcpy, gets etc. Use the compiler option -D_FORTIFY_SOURCE=2 to fortify functions. This check is not applicable for Dart/Flutter libraries.","The binary does not have any fortified functions. Fortified functions provides buffer overflow checks against glibc's commons insecure functions like strcpy, gets etc. Use the compiler option -D_FORTIFY_SOURCE=2 to fortify functions. This check is not applicable for Dart/Flutter libraries."
asx-85b7a67c742c373ea61fa78f,High,70,needs_validation,,MASVS-RESILIENCE,inferred,binary_stack_canary,lib/mips/libdivajni.so,1,This binary does not have a stack canary value added to the stack. Stack canaries are used to detect and prevent exploits from overwriting return address. Use the option -fstack-protector-all to enable stack canaries. Not applicable for Dart/Flutter libraries unless Dart FFI is used.,This binary does not have a stack canary value added to the stack. Stack canaries are used to detect and prevent exploits from overwriting return address. Use the option -fstack-protector-all to enable stack canaries. Not applicable for Dart/Flutter libraries unless Dart FFI is used.
asx-d1078560fa61c1fccbb4ec22,High,70,needs_validation,,MASVS-CODE,inferred,binary_nx,lib/mips/libdivajni.so,1,The binary does not have NX bit set. NX bit offer protection against exploitation of memory corruption vulnerabilities by marking memory page as non-executable. Use option --noexecstack or -z noexecstack to mark stack as non executable.,The binary does not have NX bit set. NX bit offer protection against exploitation of memory corruption vulnerabilities by marking memory page as non-executable. Use option --noexecstack or -z noexecstack to mark stack as non executable.
asx-652c489e6ef6a3cd627a099a,High,70,needs_validation,,MASVS-CODE,inferred,binary_nx,lib/mips64/libdivajni.so,1,The binary does not have NX bit set. NX bit offer protection against exploitation of memory corruption vulnerabilities by marking memory page as non-executable. Use option --noexecstack or -z noexecstack to mark stack as non executable.,The binary does not have NX bit set. NX bit offer protection against exploitation of memory corruption vulnerabilities by marking memory page as non-executable. Use option --noexecstack or -z noexecstack to mark stack as non executable.
asx-94773aa936a8b33869e75bd4,High,70,needs_validation,,MASVS-RESILIENCE,inferred,binary_stack_canary,lib/mips64/libdivajni.so,1,This binary does not have a stack canary value added to the stack. Stack canaries are used to detect and prevent exploits from overwriting return address. Use the option -fstack-protector-all to enable stack canaries. Not applicable for Dart/Flutter libraries unless Dart FFI is used.,This binary does not have a stack canary value added to the stack. Stack canaries are used to detect and prevent exploits from overwriting return address. Use the option -fstack-protector-all to enable stack canaries. Not applicable for Dart/Flutter libraries unless Dart FFI is used.
asx-e81fbaa32ba0b5c8d5a8b1fd,Medium,70,needs_validation,,MASVS-RESILIENCE,inferred,binary_fortify,lib/mips64/libdivajni.so,1,"The binary does not have any fortified functions. Fortified functions provides buffer overflow checks against glibc's commons insecure functions like strcpy, gets etc. Use the compiler option -D_FORTIFY_SOURCE=2 to fortify functions. This check is not applicable for Dart/Flutter libraries.","The binary does not have any fortified functions. Fortified functions provides buffer overflow checks against glibc's commons insecure functions like strcpy, gets etc. Use the compiler option -D_FORTIFY_SOURCE=2 to fortify functions. This check is not applicable for Dart/Flutter libraries."
asx-e93e1c73e1e22201b6e619b0,Medium,70,needs_validation,,MASVS-RESILIENCE,inferred,binary_fortify,lib/x86/libdivajni.so,1,"The binary does not have any fortified functions. Fortified functions provides buffer overflow checks against glibc's commons insecure functions like strcpy, gets etc. Use the compiler option -D_FORTIFY_SOURCE=2 to fortify functions. This check is not applicable for Dart/Flutter libraries.","The binary does not have any fortified functions. Fortified functions provides buffer overflow checks against glibc's commons insecure functions like strcpy, gets etc. Use the compiler option -D_FORTIFY_SOURCE=2 to fortify functions. This check is not applicable for Dart/Flutter libraries."
asx-f3c70e5f3b0b95dd4b7b16bc,High,70,needs_validation,,MASVS-CODE,inferred,binary_nx,lib/x86/libdivajni.so,1,The binary does not have NX bit set. NX bit offer protection against exploitation of memory corruption vulnerabilities by marking memory page as non-executable. Use option --noexecstack or -z noexecstack to mark stack as non executable.,The binary does not have NX bit set. NX bit offer protection against exploitation of memory corruption vulnerabilities by marking memory page as non-executable. Use option --noexecstack or -z noexecstack to mark stack as non executable.
asx-25e21623ac21a8bba11e5487,High,70,needs_validation,,MASVS-CODE,inferred,binary_nx,lib/x86_64/libdivajni.so,1,The binary does not have NX bit set. NX bit offer protection against exploitation of memory corruption vulnerabilities by marking memory page as non-executable. Use option --noexecstack or -z noexecstack to mark stack as non executable.,The binary does not have NX bit set. NX bit offer protection against exploitation of memory corruption vulnerabilities by marking memory page as non-executable. Use option --noexecstack or -z noexecstack to mark stack as non executable.
asx-440d92b068ec97e32053d928,Medium,70,needs_validation,,MASVS-RESILIENCE,inferred,binary_fortify,lib/x86_64/libdivajni.so,1,"The binary does not have any fortified functions. Fortified functions provides buffer overflow checks against glibc's commons insecure functions like strcpy, gets etc. Use the compiler option -D_FORTIFY_SOURCE=2 to fortify functions. This check is not applicable for Dart/Flutter libraries.","The binary does not have any fortified functions. Fortified functions provides buffer overflow checks against glibc's commons insecure functions like strcpy, gets etc. Use the compiler option -D_FORTIFY_SOURCE=2 to fortify functions. This check is not applicable for Dart/Flutter libraries."
asx-49e89c981b217848c05366eb,High,70,needs_validation,,MASVS-RESILIENCE,inferred,binary_stack_canary,lib/x86_64/libdivajni.so,1,This binary does not have a stack canary value added to the stack. Stack canaries are used to detect and prevent exploits from overwriting return address. Use the option -fstack-protector-all to enable stack canaries. Not applicable for Dart/Flutter libraries unless Dart FFI is used.,This binary does not have a stack canary value added to the stack. Stack canaries are used to detect and prevent exploits from overwriting return address. Use the option -fstack-protector-all to enable stack canaries. Not applicable for Dart/Flutter libraries unless Dart FFI is used.
asx-0105aa55ac47aeda18aa1a01,High,70,confirmed,Confirmed from the APK signing-certificate analysis; this training build uses a debug certificate.,MASVS-RESILIENCE,inferred,Application signed with debug certificate,signing-certificate,1,Application signed with a debug certificate. Production application must not be shipped with a debug certificate.,Application signed with debug certificate
asx-096dda1a14c4efbc5faf0135,High,70,needs_validation,,MASVS-RESILIENCE,inferred,Application vulnerable to Janus Vulnerability,signing-certificate,1,"Application is signed with v1 signature scheme, making it vulnerable to Janus vulnerability on Android 5.0-8.0, if signed only with v1 signature scheme. Applications running on Android 5.0-7.0 signed with v1, and v2/v3 scheme is also vulnerable.",Application vulnerable to Janus Vulnerability
asx-12ac2a4d62b64ce52b26e96a,Info,70,needs_validation,,MASVS-RESILIENCE,inferred,Signed Application,signing-certificate,1,Application is signed with a code signing certificate,Signed Application
